88;Медицинский центр «Клиника здоровья»;Климентовский переулок, 6;http://lookmedbook.ru/clinic/klinika-zdorovya0
108;Медицинский центр «Клиника здоровья»;Улица Маросейка, 2/15с1;http://lookmedbook.ru/clinic/klinika-zdorovya1
125;Клиника «ЭДЕМ»;Большая Дорогомиловская улица, 9к2;http://lookmedbook.ru/clinic/edem
127;Клиника «ЭДЕМ»;Малый Кисловский переулок, 9с3;http://lookmedbook.ru/clinic/edem0
134;Стоматологическая клиника «Дианта»;Академика Челомея, 2а;http://lookmedbook.ru/clinic/dianta-stomatologiya
135;Стоматологическая клиника «Дианта»;Домодедовская улица, 42а;http://lookmedbook.ru/clinic/dianta-stomatologiya0
136;Стоматологическая клиника «Дианта»;Краснодарская улица, 57к1;http://lookmedbook.ru/clinic/dianta-stomatologiya1
147;Клиника «Омега»;Каширский проезд, 5;http://lookmedbook.ru/clinic/omega
149;Клиника «Омега»;2-я Кабельная улица, 10;http://lookmedbook.ru/clinic/omega0
153;Многопрофильная клиника «Чудо Доктор»;ул. Школьная, д. 49;http://lookmedbook.ru/clinic/chudo-doktor2/chudo-doktor
157;Многопрофильная клиника «Чудо Доктор»;ул. Школьная, д. 11/3;http://lookmedbook.ru/clinic/chudo-doktor2/chudo-doktor0
167;Клиника «Диавакс»;ул. Александра Солженицына, д. 27;http://lookmedbook.ru/clinic/diavaks
173;«СМ-Клиника»;Волгоградский проспект, д.42, стр.12;http://lookmedbook.ru/clinic/sm-klinika-na-volgogradskom-prospekte
175;«СМ-Клиника»;ул. Ярославская, д. 4/2;http://lookmedbook.ru/clinic/sm-klinika-na-ulyaroslavskaya
176;«СМ-Клиника»;ул. Клары Цеткин, д. 33/28 ;http://lookmedbook.ru/clinic/mc-sm-klinika
183;Клиника «Диавакс»;ул. Хованская, д. 6;http://lookmedbook.ru/clinic/diavaks0
189;«СМ-Клиника»;ул. Ярцевская, д.8;http://lookmedbook.ru/clinic/sm-klinika-na-ul-yarcevskaya
247;Клиника «Доктор Озон»;Старокачаловская улица, 6;http://lookmedbook.ru/clinic/doktor-ozon
248;Клиника «Доктор Озон»;Хорошевское шоссе, 72к1;http://lookmedbook.ru/clinic/doktor-ozon0
254;«СМ-Клиника»;ул. Лесная, д. 57, стр. 1 ;http://lookmedbook.ru/clinic/sm-klinika-na-ul-lesnaya
